row;ic;ic_id;ic_member;ic_member_id;;
164;Acting Up!: Women in Theater and Performance;50016;Skura, Stephanie;70134;;
165;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Carvalho, Josely;70135;;
166;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Costan, Chris;70136;;
167;Mothers, Mags, and Movie Stars - Feminism and Class;50017;De Sando, Sandra;70094;;
168;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Godwin, Michele;70115;;
169;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Goodfriend, Pennelope;70137;;
170;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Kenny, Kay;70096;;
171;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Lippard, Lucy R.;70004;;
172;Mothers, Mags, and Movie Stars - Feminism and Class;50017;Moore, Sabra;70110;;
173;Satire;50018;Amos, Emma;70138;;
174;Satire;50018;Gleeson, Day;70139;;
175;Satire;50018;Lang, Avis;70140;;
176;Satire;50018;Lanyon, Ellen;70107;;
177;Heresies - Activists, Organizers, Progressives;50019;Goodfriend, Pennelope;70137;;
178;Heresies - Activists, Organizers, Progressives;50019;Grove, Kathy;70141;;
179;Heresies - Activists, Organizers, Progressives;50019;Irons, Shirley;70142;;
180;Heresies - Activists, Organizers, Progressives;50019;Litke, Ann;70143;;
181;Heresies - Activists, Organizers, Progressives;50019;Michals, Robin;70144;;
182;Heresies - Activists, Organizers, Progressives;50019;Reed, Kristin;70145;;
183;Heresies - Activists, Organizers, Progressives;50019;Rumm, Ellen;70146;;
184;Heresies - Activists, Organizers, Progressives;50019;Peer, Linda;70111;;
185;Heresies - Activists, Organizers, Progressives;50019;Woolhandler, Susan;70147;;
186;Food is a Feminist Issue;50020;Bradney, Gail;70148;;
187;Food is a Feminist Issue;50020;Brown, Kathie;70149;;
188;Food is a Feminist Issue;50020;Cooperider, Carrie;70150;;
189;Food is a Feminist Issue;50020;Fuller, C. Palmer;70151;;
190;Food is a Feminist Issue;50020;Goodfriend, Pennelope;70137;;
191;Food is a Feminist Issue;50020;Kenny, Kay;70096;;
192;Food is a Feminist Issue;50020;Kreloff, Bea;70152;;
193;Food is a Feminist Issue;50020;Siegal, Sondra;70153;;
194;Art in Unestablished Channels;50021;Baskin, Fran;70154;;
195;Art in Unestablished Channels;50021;Burgess, Martha;70155;;
196;Art in Unestablished Channels;50021;Drury, Sarah;70156;;
197;Art in Unestablished Channels;50021;Heindl, Chris;70157;;
198;Art in Unestablished Channels;50021;Hertz, Betti-Sue;70158;;
199;Art in Unestablished Channels;50021;Hoenig, Susan;70159;;
200;Art in Unestablished Channels;50021;Jacobsen, Carol;70160;;
201;Art in Unestablished Channels;50021;Michals, Robin;70144;;
202;Art in Unestablished Channels;50021;Prown, Lise;70161;;
203;Art in Unestablished Channels;50021;Wadsworth, Lynn;70162;;
204;Coming of Age;50022;Barton, Priscilla;70163;;
205;Coming of Age;50022;Duberstein, Helen;70164;;
206;Coming of Age;50022;Evans, Jan;70165;;
207;Coming of Age;50022;Goodfriend, Pennelope;70137;;
208;Coming of Age;50022;Holup, Wopo;70166;;
209;Coming of Age;50022;Lang, Avis;70140;;
210;12 Years (Anniversary Issue);50023;Brown, Kathie;70149;;
211;13 Years (Anniversary Issue);50023;Heinemann, Sue;70010;;
212;14 Years (Anniversary Issue);50023;Hess, Elizabeth;70002;;
213;15 Years (Anniversary Issue);50023;Moore, Sabra;70110;;
214;16 Years (Anniversary Issue);50023;Wilding, Faith;70167;;
215;The Art of Education;50024;Amos, Emma;70138;;
216;The Art of Education;50024;Pasti, Sara;70168;;
217;The Art of Education;50024;Racette, E. A.;70169;;
218;The Art of Education;50024;Sivilli, Valeri;70170;;
219;A Journal of Feminist Post-Totalitarian Criticism;50025;Efimova, Alla;70171;;
220;A Journal of Feminist Post-Totalitarian Criticism;50025;Kamenetzkaya, Natalya;70172;;
221;A Journal of Feminist Post-Totalitarian Criticism;50025;Sandomirskaya, Irina;70173;;
222;A Journal of Feminist Post-Totalitarian Criticism;50025;Dixon, Tennessee Rice;70174;;
223;A Journal of Feminist Post-Totalitarian Criticism;50025;Isaak, Jo Anna;70175;;
224;A Journal of Feminist Post-Totalitarian Criticism;50025;Lang, Avis;70140;;
225;A Journal of Feminist Post-Totalitarian Criticism;50025;Pasti, Sara;70168;;
226;LATINA - A Journal of Ideas;50026;Carvalho, Josely;70135;;
227;LATINA - A Journal of Ideas;50026;Gutiérrez, Marina;70176;;
228;LATINA - A Journal of Ideas;50026;Leval, Susana Torruela;70177;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
