row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
1362;Lessing, Doris;30905;40907;0
1363;Greenham Women;30906;40908;0
1364;Harford, Barbara;30907;40909;0
1365;Hopkins, Sarah;30908;40909;0
1366;Greenham Women;30906;40910;60281
1367;Snitwo, Ann;30909;40911;60282
1368;Lynchecomb;30910;40912;0
1369;Kelly, Petra;30911;40913;0
1370;Lippard, Lucy R.;30189;40914;0
1371;Jones, Lynne;30912;40915;0
1372;Prigogine, ILya;30913;40916;0
1373;Stengers, Isabelle;30914;40916;0
1374;Woolf, Virginia;30199;40917;0
1375;Campbell, Beatric;30915;40918;0
1376;Whisker, Brenda;30916;40919;0
1377;Bishop, Jacky;30917;40919;0
1378;Mohin, Lilian;30918;40919;0
1379;Longdon, Trish;30919;40919;0
1380;Cook, Alice;30920;40920;0
1381;Kirk, Gwyn;30921;40920;0
1382;Wallgrove, Ruth;30922;40921;60283
1383;Chester, Gail;30923;40922;0
1384;De Beauvoir, Simone;30007;40033;0
1385;Schell, Jonathan;30924;40923;0
1386;Strange, Penny;30925;40924;0
1387;Atkinson, Rick;30926;40925;60284
1388;Mather, Ian;30927;40926;60285
1389;Redclift, Michael;30928;40927;0
1390;Greenham Women;30906;40908;0
1391;Arendt, Hannah;30196;40928;0
1392;Cambridge Women´s Peace Collective;30929;40929;0
1393;Percy, Charles;30930;40930;0
1394;Humphrey, Caroline;30931;40931;60286
1395;Yudkin, John;30932;40932;0
1396;Simoons, Frederick;30933;40933;0
1397;Levi-Strauus, Claude;30934;40934;0
1398;Douglas, Mary;30396;40935;0
1399;Douglas, Mary;30396;40936;0
1400;Harris, Marvin;30936;40937;0
1401;Harrington, Judith;30937;40938;60287
1402;O´Laughlin, Bridget;30938;40939;60288
1403;Schlegel, Alice;30939;40940;0
1404;Huston, Perdita;30940;40941;0
1405;Root, Waverly;30961;40965;0
1406;de Rochemont, Richard;30962;40965;0
1407;Leghorn, Lisa;30963;40966;0
1408;Roodkowsky, Mary;30964;40966;0
1409;Shearer, Lloyd;30965;40967;60300
1410;Baring-Gould, William;30966;40968;0
